Matrix Number,Matrix Rows,Matrix Cols,Matrix Nonzeros,Matrix Redundancy,Matrix Density,Eigen Constructor Time,CSF2 Constructor Time,CSF3 Constructor Time,Eigen InnerIterator Time,CSF2 InnerIterator Time,CSF3 InnerIterator Time,Eigen Scalar Multiplication Time,CSF2 Scalar Multiplication Time,CSF3 Scalar Multiplication Time,Eigen Vector Multiplication Time,CSF2 Vector Multiplication Time,CSF3 Vector Multiplication Time,Eigen Memory Usage,CSF2 Memory Usage,CSF3 Memory Usage,Eigen Transpose Time,CSF2 Transpose Time, CSF3 Transpose Time, Eigen Matrix Multiplication Time, CSF2 Matrix Multiplication Time, CSF3 Matrix Multiplication Time
6.000000, 130.000000, 130.000000, 1282.000000, 0.949941, 0.075858,139116,164552,327051,20,36016,34203,20,48108,46095,9948,47257,39353,203324,80702,27464,23683,478439,545543,1670620,5372433,5623093,
6.000000, 130.000000, 130.000000, 1282.000000, 0.949941, 0.075858,144776,156718,331699,20,36096,34042,21,47728,46365,9226,43120,40154,203324,80702,27464,21059,502103,549460,1466935,5379265,5591825,
6.000000, 130.000000, 130.000000, 1282.000000, 0.949941, 0.075858,147882,159654,335997,20,35836,34253,30,43570,46085,13054,43079,40524,203324,80702,27464,21429,485182,544441,1421302,5363427,5580425,
8.000000, 292.000000, 292.000000, 1250.000000, 0.993151, 0.014660,1200025,377574,902378,20,158021,162499,20,258214,203935,45003,184159,181794,1024340,353344,95960,144335,1825615,1827408,14697590,60241015,59047342,
8.000000, 292.000000, 292.000000, 1250.000000, 0.993151, 0.014660,1315888,406858,894163,20,160826,159553,20,192824,214694,74958,183237,180612,1024340,353344,95960,190560,1823681,1863905,14975280,60334237,59733323,
8.000000, 292.000000, 292.000000, 1250.000000, 0.993151, 0.014660,1198152,392912,884115,20,157058,160425,20,195319,207551,54921,188878,182044,1024340,353344,95960,150848,1814575,1929406,14802643,60170646,59003902,
8.000000, 292.000000, 292.000000, 1250.000000, 0.993151, 0.014660,1202940,389756,903921,20,161527,160235,20,188466,203904,42869,184539,181333,1024340,353344,95960,160135,1835383,1969168,14369487,60353492,58933703,
8.000000, 292.000000, 292.000000, 1250.000000, 0.993151, 0.014660,1219121,384146,892871,20,157921,161026,20,187955,202292,42228,184389,180972,1024340,353344,95960,143013,1790861,1963869,14918686,59881024,58834631,
8.000000, 292.000000, 292.000000, 1250.000000, 0.993151, 0.014660,1254275,402169,892571,20,157500,159663,30,190641,206961,65551,191742,198605,1024340,353344,95960,148714,1720251,1987833,14770784,60308990,58839560,
8.000000, 292.000000, 292.000000, 1250.000000, 0.993151, 0.014660,1518480,382934,913078,20,163190,159523,20,192824,206229,47206,186383,184089,1024340,353344,95960,146770,1746550,2013700,15025172,72499994,58888580,
8.000000, 292.000000, 292.000000, 1250.000000, 0.993151, 0.014660,1220473,378676,890827,20,158782,160996,20,189949,206700,43931,183407,179860,1024340,353344,95960,202893,1726482,2070876,14463720,60405928,59011957,
8.000000, 292.000000, 292.000000, 1250.000000, 0.993151, 0.014660,1215695,383676,893993,20,158571,160756,20,205016,209886,58267,185421,182686,1024340,353344,95960,152591,1829632,1905111,14961274,60126155,58808012,
8.000000, 292.000000, 292.000000, 1250.000000, 0.993151, 0.014660,1338180,397520,909021,20,160445,160074,21,192334,209274,60241,187545,179941,1024340,353344,95960,164402,1804296,2546029,14458831,60308339,58984476,
11.000000, 85.000000, 85.000000, 304.000000, 0.976471, 0.042076,72153,47187,92691,20,13745,13915,20,17512,18894,3407,16700,16801,87044,32494,10309,9617,172988,180712,504187,1484658,1457339,
11.000000, 85.000000, 85.000000, 304.000000, 0.976471, 0.042076,82342,48990,93542,30,13885,14276,20,18334,19275,3647,16540,16781,87044,32494,10309,8777,201831,255460,407289,1509724,1462648,
11.000000, 85.000000, 85.000000, 304.000000, 0.976471, 0.042076,77313,47467,92490,20,13936,14317,20,18935,19436,3486,17272,17722,87044,32494,10309,9087,178107,195640,496292,1512519,1542825,
11.000000, 85.000000, 85.000000, 304.000000, 0.976471, 0.042076,123567,80849,184269,20,16170,23163,30,20758,34223,4489,19165,18454,87044,32494,10309,11320,193175,273483,631640,1887388,1587547,
11.000000, 85.000000, 85.000000, 304.000000, 0.976471, 0.042076,86719,67574,127624,20,14547,19366,30,20177,21500,3977,31358,35204,87044,32494,10309,10068,198425,226816,473480,1771516,1770373,
11.000000, 85.000000, 85.000000, 304.000000, 0.976471, 0.042076,86158,65190,115913,20,14807,15498,21,27470,21269,4478,20137,20558,87044,32494,10309,13315,236895,229071,504868,1761658,1675088,
11.000000, 85.000000, 85.000000, 304.000000, 0.976471, 0.042076,90336,78694,101256,21,15128,24455,21,23984,19165,3407,23563,17071,87044,32494,10309,9718,198514,213202,434107,1741831,1563794,
11.000000, 85.000000, 85.000000, 304.000000, 0.976471, 0.042076,77863,61593,93923,20,13806,14236,20,19346,19596,3447,17122,16891,87044,32494,10309,10219,179460,206860,473540,1526656,1645304,
11.000000, 85.000000, 85.000000, 304.000000, 0.976471, 0.042076,90396,50192,132884,20,15749,16370,20,22892,20367,4368,19616,19345,87044,32494,10309,9497,270437,223531,478459,1759142,1679316,
11.000000, 85.000000, 85.000000, 304.000000, 0.976471, 0.042076,91268,55653,105714,30,13835,14227,30,19055,24595,3847,17782,17792,87044,32494,10309,11622,191372,231896,515287,1698271,1527887,
13.000000, 39.000000, 39.000000, 85.000000, 0.948718, 0.055884,17682,14798,31548,20,3466,3266,20,4578,6672,831,4408,4058,18412,7746,2949,2795,54811,53859,71301,168750,163671,
13.000000, 39.000000, 39.000000, 85.000000, 0.948718, 0.055884,14517,20127,26859,20,5279,4118,20,4869,7423,831,6672,4489,18412,7746,2949,3226,50663,52015,65951,171465,169712,
13.000000, 39.000000, 39.000000, 85.000000, 0.948718, 0.055884,13325,18624,30106,20,3716,3236,20,5270,9487,1062,5320,4829,18412,7746,2949,2604,52937,57296,51865,170012,176624,
13.000000, 39.000000, 39.000000, 85.000000, 0.948718, 0.055884,14106,20788,26238,20,5099,3677,20,5129,5380,1282,6302,8045,18412,7746,2949,2455,55111,53739,62305,174641,180281,
13.000000, 39.000000, 39.000000, 85.000000, 0.948718, 0.055884,13956,14957,37699,20,3236,3206,20,4919,5510,891,4217,3827,18412,7746,2949,2174,57486,58468,48058,166406,163721,
13.000000, 39.000000, 39.000000, 85.000000, 0.948718, 0.055884,10590,14146,27119,20,3246,4779,20,4759,4999,1513,4217,3987,18412,7746,2949,2966,45754,51605,47838,159553,145328,
13.000000, 39.000000, 39.000000, 85.000000, 0.948718, 0.055884,15289,16240,25577,20,3266,3176,20,8005,5039,1252,6041,6372,18412,7746,2949,2655,45483,48309,51665,161587,160344,
13.000000, 39.000000, 39.000000, 85.000000, 0.948718, 0.055884,11521,18454,30466,20,3426,3377,20,5069,8455,891,5641,4939,18412,7746,2949,2735,46446,57065,60581,168550,168931,
13.000000, 39.000000, 39.000000, 85.000000, 0.948718, 0.055884,11110,13946,25206,20,3276,3156,20,4979,4969,802,4117,3917,18412,7746,2949,2004,45063,54680,45583,157980,171505,
13.000000, 39.000000, 39.000000, 85.000000, 0.948718, 0.055884,12153,13575,30306,20,3286,3215,20,4979,4829,972,4228,5731,18412,7746,2949,1903,49581,56384,48760,169592,165685,
14.000000, 49.000000, 49.000000, 108.000000, 0.959184, 0.044981,20097,20888,37509,20,10920,5249,20,6942,7474,1323,6792,6131,29012,11686,4189,3266,67935,80337,177326,304119,316191,
14.000000, 49.000000, 49.000000, 108.000000, 0.959184, 0.044981,21480,20638,36317,20,5150,4939,20,7454,7304,1232,6461,6191,29012,11686,4189,3045,66793,74587,93112,295954,305933,
14.000000, 49.000000, 49.000000, 108.000000, 0.959184, 0.044981,19376,20247,35155,20,5190,4989,20,7203,7303,1162,6171,5921,29012,11686,4189,3005,64849,70780,93272,294531,305983,
14.000000, 49.000000, 49.000000, 108.000000, 0.959184, 0.044981,21199,20157,36046,20,5189,4919,20,7093,7204,1353,6252,5841,29012,11686,4189,3196,66101,71111,83884,298087,328844,
14.000000, 49.000000, 49.000000, 108.000000, 0.959184, 0.044981,20838,29714,43200,20,6021,5089,20,7794,9046,1633,6753,6532,29012,11686,4189,3386,67855,72493,88252,302055,343271,
14.000000, 49.000000, 49.000000, 108.000000, 0.959184, 0.044981,21720,19295,38020,20,6291,6141,20,7975,7303,2184,6262,5831,29012,11686,4189,2946,76731,71661,85928,297547,332972,
