Matrix Number, Sparsity, Redundancy, CSF1 Size, CSF2 Size, CSF3 Size
209, 3, 10, 26988, 24304, 10794
210, 3, 11, 27268, 25028, 11267
211, 3, 12, 26548, 25276, 11633
212, 3, 13, 27780, 26572, 12297
213, 3, 14, 27532, 27000, 12680
214, 3, 15, 26964, 27220, 12987
215, 3, 16, 27300, 27972, 13467
216, 3, 17, 27340, 28384, 13766
217, 3, 18, 27148, 28736, 14078
218, 3, 19, 27204, 29156, 14379
219, 3, 20, 27716, 29988, 14875
220, 3, 21, 27340, 30056, 15020
221, 3, 22, 26620, 29976, 15140
222, 3, 23, 26748, 30464, 15474
223, 3, 24, 27172, 30996, 15767
224, 3, 25, 26764, 31056, 15914
225, 3, 26, 26204, 31032, 16036
226, 3, 27, 26836, 31652, 16343
227, 3, 28, 26628, 32068, 16707
228, 3, 29, 26644, 32012, 16661
229, 3, 30, 27300, 32844, 17121
230, 3, 31, 26732, 32664, 17128
231, 3, 32, 27332, 33284, 17443
232, 3, 33, 27708, 33840, 17766
233, 3, 34, 26588, 32896, 17338
234, 3, 35, 26828, 33808, 17962
235, 3, 36, 27164, 34064, 18070
236, 3, 37, 28004, 34916, 18499
237, 3, 38, 27060, 34388, 18339
238, 3, 39, 26980, 34380, 18353
239, 3, 40, 27508, 34876, 18593
240, 3, 41, 27060, 34620, 18513
241, 3, 42, 26356, 34388, 18515
242, 3, 43, 27420, 35384, 18996
243, 3, 44, 27372, 35768, 19296
244, 3, 45, 26980, 35644, 19301
245, 3, 46, 27196, 35648, 19250
246, 3, 47, 27780, 35932, 19317
247, 3, 48, 27268, 36172, 19625
248, 3, 49, 26988, 35736, 19368
249, 3, 50, 27588, 36700, 19941
250, 3, 51, 26732, 35752, 19444
251, 3, 52, 27084, 36288, 19758
252, 3, 53, 27732, 36988, 20121
253, 3, 54, 27260, 36656, 19990
254, 3, 55, 27556, 37220, 20339
255, 3, 56, 27556, 37388, 20465
256, 3, 57, 26972, 36952, 20284
257, 3, 58, 27124, 36676, 20039
258, 3, 59, 27084, 36968, 20268
259, 3, 60, 25892, 35756, 19657
260, 3, 61, 27372, 37432, 20544
261, 3, 62, 27132, 37096, 20352
262, 3, 63, 27004, 37224, 20480
263, 3, 64, 27132, 37328, 20526
264, 3, 65, 27076, 37612, 20753
265, 3, 66, 26868, 37444, 20679
266, 3, 67, 27772, 38256, 21062
267, 3, 68, 27420, 37736, 20760
268, 3, 69, 27004, 37528, 20708
269, 3, 70, 27500, 38640, 21418
270, 3, 71, 26692, 37476, 20747
271, 3, 72, 27724, 38392, 21176
272, 3, 73, 27212, 38272, 21214
273, 3, 74, 27316, 38532, 21383
274, 3, 75, 26956, 37984, 21062
275, 3, 76, 27300, 38364, 21261
276, 3, 77, 27628, 38672, 21410
277, 3, 78, 27324, 38560, 21402
278, 3, 79, 27020, 38304, 21286
279, 3, 80, 27492, 38948, 21651
280, 3, 81, 27196, 38752, 21578
281, 3, 82, 27532, 39184, 21818
282, 3, 83, 27308, 38656, 21478
283, 3, 84, 27076, 38332, 21293
284, 3, 85, 26852, 38284, 21313
285, 3, 86, 26332, 37864, 21128
286, 3, 87, 26900, 38516, 21475
287, 3, 88, 27468, 39312, 21930
288, 3, 89, 27324, 39152, 21846
289, 3, 90, 27084, 38856, 21684
290, 3, 91, 26924, 38664, 21580
291, 3, 92, 27060, 38828, 21669
292, 3, 93, 26724, 38764, 21705
293, 3, 94, 26620, 38544, 21566
294, 3, 95, 27132, 39288, 21996
295, 3, 96, 27652, 39804, 22253
296, 3, 97, 27676, 39552, 22058
297, 3, 98, 27324, 39240, 21912
298, 3, 99, 26612, 38772, 21739
299, 3, 100, 27084, 39384, 22080
300, 4, 1, 20444, 14032, 4726
301, 4, 2, 20396, 14808, 5320
302, 4, 3, 20444, 15624, 5920
303, 4, 4, 20460, 16440, 6528
304, 4, 5, 20380, 17168, 7094
305, 4, 6, 20396, 17920, 7654
306, 4, 7, 20372, 18652, 8209
307, 4, 8, 20452, 19284, 8663
308, 4, 9, 20420, 19868, 9109
309, 4, 10, 20412, 20400, 9510
310, 4, 11, 20396, 20984, 9952
311, 4, 12, 20500, 21548, 10349
312, 4, 13, 20412, 21936, 10662
313, 4, 14, 20420, 22428, 11029
314, 4, 15, 20388, 22756, 11283
315, 4, 16, 20460, 22920, 11388
316, 4, 17, 20380, 23432, 11792
317, 4, 18, 20436, 23700, 11979
318, 4, 19, 20364, 24080, 12282
319, 4, 20, 20436, 24540, 12609
320, 4, 21, 20412, 24920, 12900
321, 4, 22, 20476, 25072, 12998
322, 4, 23, 20428, 25304, 13184
323, 4, 24, 20476, 25904, 13622
324, 4, 25, 20412, 25880, 13620
325, 4, 26, 20444, 26024, 13720
326, 4, 27, 20444, 26320, 13942
327, 4, 28, 20420, 26436, 14035
328, 4, 29, 20372, 26276, 13927
329, 4, 30, 20476, 26880, 14354
330, 4, 31, 20452, 26628, 14171
331, 4, 32, 20396, 27184, 14602
332, 4, 33, 20396, 26984, 14452
333, 4, 34, 20468, 27580, 14881
334, 4, 35, 20444, 27408, 14758
335, 4, 36, 20420, 27708, 14989
336, 4, 37, 20420, 27700, 14983
337, 4, 38, 20412, 27880, 15120
338, 4, 39, 20468, 27748, 15007
339, 4, 40, 20372, 28092, 15289
340, 4, 41, 20396, 27928, 15160
341, 4, 42, 20420, 28324, 15451
342, 4, 43, 20444, 28152, 15316
343, 4, 44, 20372, 28308, 15451
344, 4, 45, 20428, 28456, 15548
345, 4, 46, 20412, 28488, 15576
346, 4, 47, 20452, 28612, 15659
347, 4, 48, 20428, 28824, 15824
348, 4, 49, 20420, 28796, 15805
349, 4, 50, 20372, 28996, 15967
350, 4, 51, 20452, 29124, 16043
351, 4, 52, 20428, 29096, 16028
352, 4, 53, 20420, 29044, 15991
353, 4, 54, 20404, 29172, 16091
354, 4, 55, 20452, 28876, 15857
355, 4, 56, 20476, 28888, 15860
356, 4, 57, 20404, 29396, 16259
357, 4, 58, 20396, 29472, 16318
358, 4, 59, 20444, 29616, 16414
359, 4, 60, 20484, 29636, 16419
360, 4, 61, 20444, 29664, 16450
361, 4, 62, 20388, 29292, 16185
362, 4, 63, 20444, 29768, 16528
363, 4, 64, 20508, 29712, 16470
364, 4, 65, 20420, 29740, 16513
365, 4, 66, 20380, 29648, 16454
366, 4, 67, 20468, 29820, 16561
367, 4, 68, 20484, 30092, 16761
368, 4, 69, 20396, 29680, 16474
369, 4, 70, 20388, 30052, 16755
370, 4, 71, 20428, 29984, 16694
371, 4, 72, 20436, 29804, 16557
372, 4, 73, 20444, 29784, 16540
373, 4, 74, 20396, 29856, 16606
374, 4, 75, 20460, 30088, 16764
375, 4, 76, 20476, 30208, 16850
376, 4, 77, 20364, 29944, 16680
377, 4, 78, 20380, 30080, 16778
378, 4, 79, 20436, 30372, 16983
379, 4, 80, 20420, 30244, 16891
380, 4, 81, 20396, 30312, 16948
381, 4, 82, 20420, 30252, 16897
382, 4, 83, 20452, 30396, 16997
383, 4, 84, 20436, 30460, 17049
384, 4, 85, 20428, 30448, 17042
385, 4, 86, 20460, 30368, 16974
386, 4, 87, 20436, 30404, 17007
387, 4, 88, 20468, 30348, 16957
388, 4, 89, 20404, 30220, 16877
389, 4, 90, 20460, 30448, 17034
390, 4, 91, 20428, 30776, 17288
391, 4, 92, 20412, 30744, 17268
392, 4, 93, 20396, 30872, 17368
393, 4, 94, 20460, 30944, 17406
394, 4, 95, 20460, 30728, 17244
395, 4, 96, 20404, 30836, 17339
396, 4, 97, 20420, 31036, 17485
397, 4, 98, 20468, 30748, 17257
398, 4, 99, 20452, 30780, 17285
399, 4, 100, 20420, 30668, 17209
400, 5, 1, 16548, 12084, 4239
401, 5, 2, 16476, 12848, 4830
402, 5, 3, 15860, 13340, 5353
403, 5, 4, 16524, 14464, 6030
404, 5, 5, 16580, 15260, 6613
405, 5, 6, 16076, 15720, 7084
406, 5, 7, 16188, 16376, 7548
407, 5, 8, 16380, 17080, 8028
408, 5, 9, 16164, 17516, 8409
409, 5, 10, 16356, 18044, 8757
410, 5, 11, 16924, 19008, 9338
411, 5, 12, 16772, 19196, 9517
412, 5, 13, 16292, 19132, 9589
