Matrix Number,Matrix Rows,Matrix Cols,Matrix Nonzeros,Matrix Redundancy,Matrix Density,Avg Eigen Constructor Time,Avg CSC Constructor Time,Avg CSF2 Constructor Time,Avg CSF3 Constructor Time,Avg Armadillo Constructor Time,Avg Eigen InnerIterator Time,Avg CSC InnerIterator Time,Avg CSF2 InnerIterator Time,Avg CSF3 InnerIterator Time,Avg Armadillo InnerIterator Time,Avg Eigen Scalar Multiplication Time,Avg CSC Scalar Multiplication Time,Avg CSF2 Scalar Multiplication Time,Avg CSF3 Scalar Multiplication Time,Avg Armadillo Scalar Multiplication Time,Avg Eigen Vector Multiplication Time,Avg CSC Vector Multiplication Time,Avg CSF2 Vector Multiplication Time,Avg CSF3 Vector Multiplication Time,Avg Armadillo Vector Multiplication Time,Avg Eigen Memory Usage,Avg CSC Memory Usage,Avg CSF2 Memory Usage,Avg CSF3 Memory Usage,Avg Armadillo Memory Usage,Avg Eigen Transpose Time,Avg CSC Transpose Time,Avg CSF2 Transpose Time,Avg CSF3 Transpose Time,Avg Armadillo Transpose Time,Avg Eigen Matrix Multiplication Time,Avg CSC Matrix Multiplication Time,Avg CSF2 Matrix Multiplication Time,Avg CSF3 Matrix Multiplication Time,Avg Armadillo Matrix Multiplication Time,Avg Eigen Outer Sum Time,Avg CSC Outer Sum Time,Avg CSF2 Outer Sum Time,Avg CSF3 Outer Sum Time,Avg Armadillo Outer Sum Time,Avg Eigen Sum Time,Avg CSC Sum Time,Avg CSF2 Sum Time,Avg CSF3 Sum Time,Avg Armadillo Sum Time,Avg Eigen Norm Time,Avg CSC Norm Time,Avg CSF2 Norm Time,Avg CSF3 Norm Time,Avg Armadillo Norm Time
432,3079,3079,53843,0.010424,0.005679,255679,797409,6274779,8430498,1913440,34873,35045,67260,206475,170363,20101,23896,31683,208663,22985,32569,42341,73636,202175,73333,658436,658460,952372,734079,649508,140086,128494411,5650330,7777641,157124,109284034,163702281,185906732,672226703,123582366,23630,61563,64028,204297,55339,14260,34759,57872,204086,22764,34586,34212,62821,199430,19995
433,3565,3565,67591,0.001078,0.005318,388641,928555,9401692,12476904,2417652,44539,44441,96960,265373,217161,32465,33943,50725,262791,34857,42165,52015,105061,254363,90852,825356,825380,1193892,931164,825356,204631,217790429,8371389,10498359,222821,159411573,245166853,287496516,971021359,171203053,34094,106692,102516,256216,70622,19300,43948,91794,250802,28876,43882,43084,98773,249768,26019
434,1601,1601,16950,0,0.006613,72199,222094,1692632,2324459,613332,10978,11281,16152,64847,55358,5925,7253,6696,63777,7057,10266,13583,17841,67200,22792,209808,209832,322456,241044,204408,27948,16524341,1432230,1787533,43848,20057144,30797056,32004096,114337915,25382821,6951,18410,14970,62405,21183,4003,11349,15467,64154,6362,11345,11337,15030,62637,5945
436,27,27,153,0,0.209877,1504,2518,17027,23311,6061,162,164,208,635,769,158,92,160,577,100,224,342,316,781,1610,1948,1972,3336,2139,1948,595,8201,12050,14607,1310,3464,4137,6978,15745,4063,196,226,192,629,406,64,174,168,641,72,178,186,168,627,92
437,1651,1651,49533,0.006942,0.018172,229428,701826,6169015,8423908,1576067,31470,32464,49503,186984,153010,16140,21041,28072,188415,20991,27962,33304,57708,185440,67957,601004,601028,841172,652361,595352,96999,90280249,5248949,6862313,134560,47529516,68889502,77616705,311457128,41333494,20253,65408,45443,180386,45479,13072,32002,45946,181278,18975,31896,31443,44852,177593,18009
438,1633,1633,54543,0.105779,0.020453,282213,765770,6389544,8607356,1715700,34590,35691,49458,201808,143936,16314,23139,28673,203700,19783,30280,37091,56121,201698,60110,661052,661076,835100,639073,566048,140154,105683380,5350870,6224733,135151,50766059,74841508,82231583,335577846,39703750,24299,76271,43387,200384,41924,16068,35508,44136,197103,18466,34927,35745,45240,193920,17669
439,3096,3096,106344,0.107913,0.011095,576277,1780840,11699660,15872172,3520968,71836,70195,108116,383625,282776,47903,56884,64925,388595,46302,61681,72882,108964,393714,118777,1288516,1288540,1622616,1252826,1102480,289421,404897667,12398393,15456038,287561,189478792,279901707,321780593,1265115557,141402721,49094,155710,104347,379077,83701,34106,69921,103431,378682,39724,69402,68540,101440,371729,37041
440,3363,3363,51417,0.000406,0.004546,202760,754190,5047647,7419121,1775307,31890,32569,57443,192677,153121,16763,21474,25976,189900,22286,29765,36059,56878,183746,61459,630460,630484,930084,715465,630460,86630,119900264,5202167,7278151,134570,111654018,172974113,186242670,685372626,138148617,19973,51673,67753,183422,51130,14627,32136,61950,184887,21452,32082,32268,64777,183029,18897
441,13209,13209,91465,0.695909,0.000524,575748,1515065,4662928,5322140,3021280,65869,65136,86869,255094,360303,56934,49458,22396,225206,46549,72880,101380,103818,292474,160719,1150420,1150444,1113280,691277,1150420,281505,652106318,4759465,5510447,383166,1177762399,1863534788,2224912729,4823379459,1850879202,54400,78325,74347,233323,151656,25269,65254,69766,258537,35675,65210,66316,46629,252439,31647
442,10774,10774,40808,0.324719,0.000352,255351,640080,2618100,3139045,1225552,39704,41161,66757,132157,187109,38991,16577,17017,127954,17520,48485,67372,70223,151854,93164,532796,532820,768364,492105,532796,140060,175382526,2614285,3118739,153916,517316550,985293248,1245097838,2336913405,1017057352,44024,46443,53546,130366,114478,10758,41742,51242,134392,15464,41165,43600,38941,130877,13738
443,11738,11738,79566,0.674326,0.000577,418891,1233123,3925334,4532892,2517047,55448,53953,77976,214512,296123,43329,40502,19538,184734,40844,58385,79667,83883,241864,125166,1001748,1001772,992188,619731,1001748,194298,480942723,3820367,4285965,253343,851702657,1394848083,1600718855,3507073513,1365901493,39292,63386,65244,190852,128988,20283,53750,63637,215209,31667,54007,54035,43542,213336,28313
444,3175,3175,88927,0.280474,0.008822,503150,1330800,7855638,10797684,2837984,59740,57966,81721,307537,257136,40231,47491,41295,306062,43465,48969,60990,88442,321583,106071,1079828,1079852,1232100,919788,1029380,280273,290634338,9442963,11876021,281307,158052253,236766769,274478337,1071162518,164802111,37063,109295,71668,299826,77777,28754,57245,68422,301257,36803,57005,56125,69141,296075,33059
445,13535,13535,390607,0.290187,0.002132,2648694,6429337,40390454,52907974,12969494,260765,264243,377610,1276588,1149163,176601,200195,134053,1281710,188006,224336,284629,368839,1372340,478647,4741428,4741452,5348180,4052006,4532964,1310914,5718363273,42072074,53219110,1771520,2942244375,4378862474,4977951469,19511407919,3191589730,180145,492229,347537,1258404,330327,168834,260344,370488,1278889,163070,266411,259755,308801,1264527,153916
446,7320,7320,324784,0.00683,0.006061,1859622,5416152,59689003,75819450,10156772,213404,218668,453278,1187767,1009912,144324,166197,205579,1201361,158996,182476,228792,443185,1184646,398523,3926692,3926716,5405464,4291979,3926548,992443,3560329993,44971234,55099936,1081584,1332075955,1957072234,2262681236,8989234053,1015708718,164572,525323,421915,1182051,273643,123052,214530,423234,1183553,143006,217544,215600,387541,1160753,140908
448,9035,9035,335504,0.00046,0.00411,2179816,5585891,60470318,74132341,10609796,223112,223958,396199,1212973,1042397,153694,171962,170816,1247742,169117,189994,236888,415196,1225358,415912,4062192,4062216,5654976,4481168,4061808,1041924,4507972011,45969500,66428135,1380877,1726355622,2557947396,2914725360,11696341380,1523472580,160020,504344,428311,1228227,283790,144126,221185,435244,1226432,148282,224178,223773,390105,1206803,141042
449,7,7,15,0,0.306122,246,480,1554,2202,879,50,42,52,98,170,42,26,42,92,38,74,86,120,152,552,212,236,488,301,212,188,1101,1592,1777,140,192,268,300,514,511,48,64,62,98,108,48,48,48,124,32,48,48,40,114,54
450,1089,1089,4228,0.135701,0.003565,23884,56473,372288,491225,153147,3480,3636,6334,17497,18018,3061,1838,2805,17975,1743,3925,5592,7355,20476,9039,55096,55120,93352,62181,51100,10203,2250613,310426,375430,12589,5301163,8865220,9664755,20268782,6843993,7650,8137,5111,21456,10622,902,3913,4170,17713,1440,3661,3909,3967,17627,1506
451,1089,1089,4264,0.083331,0.003596,23584,58796,410449,557603,156746,3530,3617,6245,17907,18570,3005,2072,3071,18418,1843,3963,5677,7522,19420,8578,55528,55552,99124,67273,54088,10341,2318300,336861,407454,13757,5299389,8875603,9803898,20845499,6917230,8045,8111,5522,21971,10594,949,3873,4492,18033,1629,3735,3831,4592,18084,1526
453,13935,13935,63679,0.072171,0.000328,303962,953163,5467196,7447016,1983743,41386,42624,98366,206386,244189,25690,26702,27708,214624,26287,41786,59848,99641,229277,97014,819892,819916,1392244,982142,815428,136846,417616080,4667885,6017374,195384,928115659,1517944141,1818276072,4034550886,1863465363,31186,63916,114604,212795,119438,17893,42970,118778,214372,26397,43621,42738,84302,212071,21817
454,6747,6747,56196,0.182355,0.001234,277562,871819,3684452,5057436,1881827,37530,38784,69985,175256,118450,22217,24165,21105,169716,12692,36151,45804,68147,196106,50119,701344,701368,799176,547701,377332,124212,236258865,2740277,3849649,92046,312229953,500186200,589131768,1544253117,441958598,25609,75565,62126,178531,61505,15058,38556,59513,178408,11638,38546,38488,49577,179631,10595
455,20545,20545,159082,0.174125,0.000377,773517,2707795,10745226,14252805,6011196,110713,109485,236750,491963,347996,82797,82204,56471,467707,44439,110563,135157,217662,547170,147645,1991168,1991192,2335092,1599804,1108628,403226,1997895598,7966606,9737456,271409,2743553584,4380466130,5190085078,13157130350,4008839072,74221,188970,215691,504977,186582,49483,108167,204469,502961,36396,111004,110272,149594,504442,31934
456,3268,3268,27836,0.100096,0.002606,141010,401913,2293992,3127914,926966,18336,19278,34486,93329,75770,11589,12116,14967,89983,9185,18226,23958,37416,98587,31274,347108,347132,447052,316591,261620,71710,45167127,1391714,1900030,62705,76932750,121643181,147371716,374432651,96637862,12942,46627,30359,99901,34655,7051,18997,26207,94011,8850,18442,18909,27269,95084,8074
