Matrix Number,Matrix Rows,Matrix Cols,Matrix Nonzeros,Matrix Redundancy,Matrix Density,Avg Eigen Constructor Time,Avg CSC Constructor Time,Avg CSF2 Constructor Time,Avg CSF3 Constructor Time,Avg Armadillo Constructor Time,Avg Eigen InnerIterator Time,Avg CSC InnerIterator Time,Avg CSF2 InnerIterator Time,Avg CSF3 InnerIterator Time,Avg Armadillo InnerIterator Time,Avg Eigen Scalar Multiplication Time,Avg CSC Scalar Multiplication Time,Avg CSF2 Scalar Multiplication Time,Avg CSF3 Scalar Multiplication Time,Avg Armadillo Scalar Multiplication Time,Avg Eigen Vector Multiplication Time,Avg CSC Vector Multiplication Time,Avg CSF2 Vector Multiplication Time,Avg CSF3 Vector Multiplication Time,Avg Armadillo Vector Multiplication Time,Avg Eigen Memory Usage,Avg CSC Memory Usage,Avg CSF2 Memory Usage,Avg CSF3 Memory Usage,Avg Armadillo Memory Usage,Avg Eigen Transpose Time,Avg CSC Transpose Time,Avg CSF2 Transpose Time,Avg CSF3 Transpose Time,Avg Armadillo Transpose Time,Avg Eigen Matrix Multiplication Time,Avg CSC Matrix Multiplication Time,Avg CSF2 Matrix Multiplication Time,Avg CSF3 Matrix Multiplication Time,Avg Armadillo Matrix Multiplication Time,Avg Eigen Outer Sum Time,Avg CSC Outer Sum Time,Avg CSF2 Outer Sum Time,Avg CSF3 Outer Sum Time,Avg Armadillo Outer Sum Time,Avg Eigen Sum Time,Avg CSC Sum Time,Avg CSF2 Sum Time,Avg CSF3 Sum Time,Avg Armadillo Sum Time,Avg Eigen Norm Time,Avg CSC Norm Time,Avg CSF2 Norm Time,Avg CSF3 Norm Time,Avg Armadillo Norm Time
224,2529,2529,90158,0.08552,0.014096,469592,1412812,9422060,14290784,2875624,62266,61086,111413,292416,279103,41856,45008,34562,278268,45625,51416,63295,110403,301277,113737,1092016,1092040,1111088,801966,1092016,244977,161264462,12007199,13892936,322521,124735963,187282008,218101360,769220719,113906403,52017,185704,88592,295099,91848,27251,60473,85059,283792,38548,60044,59812,86091,286773,36147
225,1030,1030,6858,0.141019,0.006464,34994,89989,573255,763291,240998,4600,4753,7995,25782,25399,3248,2977,3240,26303,2977,4626,6882,9205,28455,11612,86420,86444,129908,90916,86420,12786,3851816,452638,548741,19851,6185744,11227546,11859207,30884322,6654870,7319,8624,4805,27469,10814,1421,4778,4406,26207,2380,4737,5564,4480,25569,2477
226,886,886,5970,0.147234,0.007605,29920,81586,499735,674537,210775,4047,4284,6502,22237,22768,2893,2604,2675,22796,2615,4136,5889,7896,24407,9341,75188,75212,111956,77860,75188,11377,2982730,386891,468348,16885,4547291,7631353,8009309,22007873,4699777,6426,7590,5390,24782,9399,1406,4239,3731,22726,2071,4141,4234,3793,22259,2033
227,2205,2205,14133,0.123505,0.002907,68622,184684,1097356,1476571,487348,9073,9513,13333,43479,49957,5229,6021,5777,44990,6067,10195,12858,17103,48467,21366,178420,178444,274824,196018,178420,25776,16044774,910670,1125010,35202,28869338,46272370,49017968,126796983,46260304,5282,16625,12990,47274,20833,3318,9449,12607,44816,5698,9567,9369,11838,44255,5137
228,1919,1919,17159,0,0.00466,82093,218570,1594334,2178959,609064,11329,11948,16723,58622,59473,7694,7363,8127,60253,7396,12237,16434,18745,61541,27168,213588,213612,335976,252361,213588,30677,17335066,1609544,1984514,42119,26027035,39519737,41762176,133259938,34462611,8494,19654,16070,60178,25225,4017,11639,15543,58315,6794,11633,11696,16699,57740,6077
229,362,362,3074,0,0.023458,15052,42558,270601,376033,112489,2186,2204,2622,13290,11620,1861,1350,1827,13325,1362,2827,3550,3338,14176,5329,38340,38364,60792,42554,38340,6227,647440,251363,313151,7760,831645,1257316,1391309,4526027,678284,3713,4051,2851,13860,5353,637,2324,2322,13321,1164,2256,2316,2528,12896,1054
230,1919,1919,4831,0,0.001312,31742,62996,449914,592177,179829,4091,4602,6600,16531,154429,3689,2100,3394,17212,2112,5121,6935,8013,18979,9952,65652,65676,138728,93531,65652,12399,3556138,373358,444317,15669,14462067,24268144,23796880,49758425,27603652,8329,7988,8790,20454,16316,1240,4055,7087,16749,2065,4290,4245,5712,16621,1947
231,362,362,880,0,0.006715,8838,10942,70680,100320,34079,849,907,1100,4518,10650,886,392,815,3967,410,1186,1671,1577,4450,2190,12012,12036,25688,16692,12012,2823,146893,68274,80947,10052,453013,762021,813700,1611468,437791,1965,1849,1514,4771,3338,212,917,933,3949,406,899,929,905,3949,334
232,30,30,180,0,0.2,3735,4604,31555,43329,11769,290,294,364,1264,1507,318,182,292,1118,202,439,583,559,1466,2821,2284,2308,3864,2484,2284,1068,16440,23341,28283,3222,5880,7738,10340,35021,6696,333,388,392,1268,721,94,312,301,1310,132,294,337,304,1230,170
233,1224,1224,9613,0.062243,0.006416,48110,136205,840266,1165167,340354,6306,6636,10033,35679,34969,4717,4156,4372,36358,4179,6770,9279,12026,37472,15761,120256,120280,180508,129520,120256,18240,6854855,692174,864616,26545,9785269,16512319,17816151,49592383,10786108,5099,12485,8420,37500,15010,2416,6508,8099,35775,3428,6422,6566,7299,35462,3510
234,532,532,3474,0,0.012275,16941,45872,260709,380888,127695,2446,2478,2799,12134,13239,1709,1677,1669,12441,1526,2554,3568,3783,13337,5452,43820,43844,72632,50702,43820,6594,1086946,245921,309374,9277,1517186,2415933,2598373,7510639,1476888,1913,4550,3166,13681,5660,713,2564,2567,12335,1318,2486,2558,2677,12158,1204
238,10,10,76,1,0.76,474,1270,3490,3667,3129,90,88,140,246,431,90,66,34,250,70,118,162,172,312,785,956,980,768,360,956,290,3911,2933,3228,296,645,765,825,2348,1052,106,126,46,284,192,68,86,36,288,48,92,106,34,278,66
239,238,238,1128,0.090336,0.019914,9514,11888,83945,115983,41267,785,785,1220,4027,4450,521,557,719,4219,529,799,1144,1659,4560,1964,14492,14516,24440,15200,14492,2194,166546,81587,96747,10686,227550,357165,408962,1105585,225220,1424,1575,1316,4915,2115,318,803,785,4051,442,801,785,817,4011,408
240,1000,1000,2375,0.014833,0.002375,17160,33837,199242,259519,89732,3013,3169,4402,10315,13888,3208,1029,3124,10319,1068,3719,5123,5572,11495,6720,32504,32528,69448,45141,32504,8307,1004614,198911,227318,9030,3666406,6907007,7750024,13360778,4851878,7656,6476,5464,13986,9986,635,3114,3192,10407,875,3199,3208,3382,10201,861
241,3564,3564,12940,0.206346,0.001019,77060,180655,1005379,1268729,452708,8864,10049,16099,39201,56891,8640,5570,8471,40223,5580,11860,17310,19194,45283,25125,169540,169564,287452,192881,169540,29321,20123464,841700,1007582,38323,62126032,101827053,105899776,211689018,97646638,8706,18753,17009,44567,32449,3212,9492,16164,40598,5310,9427,9758,13964,39181,4759
242,1000,1000,2375,0.014833,0.002375,17344,34120,196097,257138,89990,3051,3169,4544,10345,14052,3166,1042,3184,10447,1065,3667,5201,5428,11543,6730,32504,32528,69448,45141,32504,8237,995168,200371,229536,8896,3683315,6985927,7821790,13413252,4913261,7542,6554,5664,13791,10048,529,3122,3380,10433,885,3208,3350,3414,10243,846
243,1080,1080,23094,0.000809,0.019799,104331,314596,2574983,3466830,796445,14281,14797,18825,90531,73398,8990,9534,9505,91922,9530,13750,17805,20456,90367,33096,281452,281476,403896,307566,281452,43059,21040526,1977731,2458499,54011,15084733,21989233,24892289,95347365,11691426,11064,27603,17188,88818,24183,5474,14434,17298,89291,8418,14352,14334,17637,90928,7742
244,5005,5005,20033,0.024153,0.0008,104862,289026,1848397,2611097,633873,14545,15294,29940,71342,83510,12002,8526,17086,73652,8628,16953,23906,34468,78549,36153,260420,260444,472360,331896,260420,43339,51391119,1776736,2202270,57341,124385963,205526965,223131450,487343887,236558519,12425,18829,32685,79913,46401,5432,15579,28916,72630,7830,15611,15815,26495,71398,7856
245,1104,1104,3786,0,0.003106,21452,48451,302848,425311,138477,2915,3124,4785,14449,17071,2693,1643,2593,14705,1675,3410,5087,5923,16260,7614,49852,49876,95928,65052,49852,8921,1882929,302589,358320,10221,4997790,8389385,9079073,20179804,6663442,6961,6991,4907,16639,10297,1094,3163,3987,14583,1538,3025,3121,3698,14565,1350
246,3312,3312,20793,0,0.001896,98651,303938,2081796,2862795,764031,14070,14537,25199,78124,76371,9698,9114,12467,78483,9139,15234,20047,26973,82941,33113,262768,262792,438696,320997,262768,41031,35457529,2056373,2700673,62958,64861296,103679840,114761613,318844674,90579605,10455,27463,26056,81338,36410,5676,14503,23243,75746,8626,14206,14495,23311,75480,8029
247,663,663,1687,0.028406,0.003838,17029,20823,128434,171056,62124,1410,1440,1967,6159,8766,1428,745,1140,6305,761,1923,2592,2887,7095,3690,22900,22924,47380,29922,22900,4572,476782,136295,150680,20097,1599938,2693355,3012756,5467938,1893239,4085,3524,2751,8303,5733,416,1522,1338,6247,643,1488,1522,1456,6189,633
248,663,663,1726,0.031171,0.003927,17857,21997,133069,177086,63452,1727,1721,2328,6895,9361,1839,771,1433,7045,792,2286,3091,3334,7772,4051,23368,23392,47920,30335,23368,5113,502967,143100,160543,20388,1625226,2701699,3040032,5601456,1921145,4456,3935,2843,9355,6207,350,1759,1492,6965,613,1839,1941,1563,6848,629
249,663,663,1712,0.030292,0.003895,17396,22840,132079,175473,62815,1881,1887,2587,7083,9572,1976,765,1569,7333,771,2370,3314,3388,7896,4364,23200,23224,47720,30198,23200,5273,496511,142317,160244,20139,1605086,2672520,3006693,5536628,1887422,4831,4185,3145,9545,6413,457,2003,1651,7227,649,1973,2029,1741,7059,611
250,3345,3345,13047,1,0.001166,92215,213680,701509,733754,448042,16881,17218,23378,45020,69871,17184,5640,4631,44692,5648,19767,27696,26585,52524,37089,169948,169972,199392,115707,169948,44754,20726892,704483,744071,50819,55221928,90984709,91333425,198567575,101007181,19043,30581,14305,50990,43385,3320,17717,12086,45988,5742,17318,18704,10970,45537,5043
251,240,240,3762,0.39088,0.065312,16643,48330,254349,359656,119382,2460,2474,4354,13413,8848,1647,1661,1474,14008,1011,2374,3009,4869,14459,4145,46108,46132,49728,30106,27940,6011,775155,225447,275332,6089,572974,788226,879401,3240488,314601,1887,4642,2318,13523,3783,819,2487,1665,13523,889,2494,2492,1781,13314,800
252,600,600,13760,0.56644,0.038222,56061,174625,793261,1110220,396856,8890,8941,10229,44491,20610,4346,5949,2572,44443,2482,6917,9279,11305,53937,8868,167524,167548,145280,97536,70324,19434,7950925,675965,864483,15581,5072689,7341313,7895260,29629735,2277878,5378,17366,3729,43932,7960,2843,9081,3975,44293,1919,8951,8900,4227,44064,1897
253,80,80,928,0.571875,0.145,4662,12778,68017,80697,28958,657,823,959,3296,1628,399,433,250,2719,180,657,1040,1009,3690,2392,11460,11484,11024,6172,4092,1765,94094,45992,59481,1400,43920,64781,69913,232752,22536,444,921,450,3067,831,266,667,377,3344,168,757,673,416,3041,166
254,363,363,2454,0.017785,0.018624,12222,35170,255149,350677,88448,1779,1795,2440,9702,9327,1384,1050,1422,9808,1066,1885,2597,3039,10315,4115,30904,30928,50352,33553,30904,4917,634281,193962,236439,6486,690473,1113947,1244360,3690037,590022,1715,3973,2546,10582,4402,549,1937,1895,9604,921,1851,1955,2021,9530,837
255,363,363,3068,0.016707,0.023283,15871,45052,318785,455370,112062,2521,2532,3568,13302,12308,2178,1372,2262,13481,1350,2869,3729,4450,13887,5834,38272,38296,60176,40797,38272,6842,818885,249982,313536,8602,836937,1268845,1442750,4690930,672337,2731,5159,3456,13643,5783,639,2733,2679,13010,1220,2590,2799,2817,13086,1052
256,363,363,3157,0.027026,0.023959,15421,43359,309318,441209,108305,2619,2599,3819,13144,12369,2304,1312,2398,13443,1330,3051,3987,4388,13791,5937,39340,39364,61408,41833,39340,6861,793320,251020,307753,8550,808658,1226764,1422165,4570436,649682,2664,5255,3081,13704,5789,641,2721,2769,12924,1126,2725,2905,2891,12980,1018
257,363,363,3279,0.032258,0.024884,16328,45383,326763,462349,137458,2777,2731,3849,13741,12539,2452,1366,2582,14288,1376,3153,4131,4650,14723,6245,40804,40828,63288,43160,40804,7087,835663,262562,324803,8930,842546,1254084,1428008,4744823,678476,2771,5107,3603,14393,6163,723,2951,2865,13585,1154,2859,2989,2976,13439,1068
258,1856,1856,11360,0,0.003298,53386,156607,1107746,1514246,407518,7450,7810,11121,40766,42215,4246,4901,4444,41060,5195,7337,10804,13040,44172,17262,143748,143772,241176,174776,143748,19853,11147980,874151,1096262,26568,19631543,37981938,40091002,97513508,26464002,4373,13511,10168,42503,17166,2971,7704,12277,41024,4498,7700,7574,10233,40782,4091
259,1856,1856,11550,0.011837,0.003353,54937,153874,1119182,1529120,414445,7524,8047,11328,42207,42750,4316,4975,4480,42574,5308,7369,10353,14731,45343,17969,146028,146052,242704,175606,146028,20262,11206705,884913,1110164,27142,19815314,38397274,40644712,99054013,26496019,4680,13703,10281,45641,17573,3181,7931,12469,41784,5193,7882,7722,10037,41564,4242
260,1033,320,4732,0.610061,0.014315,25766,62585,358368,513286,169183,3803,3717,6438,17482,16603,2923,2059,1188,17466,2064,3911,5201,7490,19755,8610,58068,58092,57176,38508,58068,10010,1514771,346127,431423,12870,3886315,5094647,5108964,16235636,2697700,4097,9594,3254,18561,7532,978,3995,2089,18180,1765,3849,4015,2067,17563,1603
261,1850,712,8758,0.611348,0.006649,47190,111134,653870,932573,311141,7153,7309,13687,31387,31767,5886,3682,2761,31257,3771,8005,10419,13637,40608,17440,107948,107972,109764,74871,107912,20819,5079220,658951,812029,25213,14334348,18472756,19988673,59250214,11268548,7972,16631,7760,36097,15771,2334,7720,6506,34200,3632,7450,7762,5245,33903,2973
262,67,67,294,0.064677,0.065493,2643,4134,26940,37287,10285,282,312,448,1122,1348,292,146,266,1184,152,404,529,599,1326,2270,3800,3824,6632,4130,3800,998,19178,22242,26285,1068,12629,17627,25932,68392,11864,372,372,314,1204,813,96,330,264,1238,112,286,344,290,1156,198
263,132,132,414,0.062877,0.02376,3967,6275,40285,53246,17174,535,556,939,1929,2459,607,198,551,1999,214,715,981,1108,2244,3967,5500,5524,10320,6230,5488,1683,40590,36935,41992,4837,44475,79955,103991,223172,61166,1354,1186,985,2584,1669,140,631,565,1973,262,585,581,527,1949,192
264,156,156,371,0.096474,0.015245,3973,6017,33857,43341,15519,663,585,1011,1895,2526,745,208,507,2166,232,877,1098,1166,2396,3917,5080,5104,10376,6121,4972,1799,37153,34458,43986,4616,72464,123041,147430,284129,89830,1344,1426,967,2604,2099,144,669,539,1919,214,603,703,507,1885,186
265,167,167,507,0.055617,0.018179,5472,8403,59599,72337,26840,663,767,1410,2887,3274,777,278,641,2635,282,928,1270,1350,3340,4642,6756,6780,12856,7753,6744,2298,72646,50165,63958,6045,103129,161298,176162,399687,118422,2226,1476,1314,3635,2011,244,743,715,3043,312,787,817,661,2594,270
266,381,381,2157,0.107366,0.014859,11355,26567,197703,288022,79781,1474,1485,2274,8219,8396,1278,951,1248,8449,953,1795,2558,3269,9317,3801,27412,27436,44160,29621,27136,4390,472456,146903,177735,5875,737433,1162047,1293013,3423645,635584,3290,3871,2494,9654,4798,470,1651,1615,8468,868,1546,1705,1705,8748,761
267,479,479,1910,0.08678,0.008325,16571,26904,164678,228524,71528,1767,1769,3358,9650,8960,1775,845,1729,9844,848,2182,3005,3925,10371,4316,24840,24864,43020,28179,24576,5097,493367,151762,186508,19617,981481,1815312,2006227,4170582,1038494,4047,3927,3023,11445,5422,464,1881,1863,9603,747,1933,2142,1991,9449,691
268,497,497,1727,0.043463,0.006992,15455,23933,152872,221800,66266,1474,1510,3038,8063,8252,1571,771,1464,8359,773,1917,2592,3704,8746,4003,22716,22740,41160,26467,22644,4676,411429,144755,173301,18905,996777,1650158,1854063,3840725,1060248,3759,3825,2781,9826,5133,422,1655,1625,8129,689,1643,1699,1631,7852,627
269,655,655,2854,0.091972,0.006652,15976,43010,242008,330051,105522,2478,2456,4500,12697,12295,2162,1250,2216,13173,1234,2739,3915,5410,13763,5558,36872,36896,61548,41275,36320,6622,895804,221535,275585,8617,1899799,3121098,3466488,7850618,2056725,5039,5228,3835,14046,7091,643,2629,2422,12764,1005,2565,2679,2473,12499,987
270,989,989,3537,0.084259,0.003616,20686,48534,282421,401329,130831,2709,2905,5067,13916,15417,2360,1506,1981,14289,1518,3077,4207,5520,15361,6832,46404,46428,81688,54214,46176,8327,1558038,270521,329109,11485,3945268,6538846,7481609,15495832,5000346,6490,6698,5418,17266,9093,905,2761,3005,13988,1288,2757,2905,3103,13741,1284
271,1505,1505,5445,0.086788,0.002404,31954,82763,494892,647424,201792,3821,4171,8001,20074,23075,3350,2302,2829,21085,2364,4578,6357,8962,22720,10082,71364,71388,124948,83807,70992,12838,3681865,418952,507840,17146,9705340,16036422,18908944,38231035,16389983,3246,10267,9666,25459,13324,1350,4136,7151,20674,2096,3995,4205,5655,20310,2028
272,2021,2021,7353,0.047898,0.0018,43141,103344,673763,898805,271583,5115,5606,11279,26596,30938,4093,3099,4207,28046,3096,5860,8293,13559,31026,13415,96324,96348,172984,117648,95808,16519,6452721,584820,705839,23406,17714343,28818849,34155423,69451794,32308351,11980,13451,10171,30457,17526,2100,5350,10435,26580,3051,5412,5466,8734,26671,2769
273,199,199,701,1,0.017702,4051,10934,39602,39626,26325,625,565,821,1980,3180,613,366,146,2260,374,835,1092,1312,2673,4717,9212,9236,11584,5899,9212,2161,79282,38195,45186,2084,147670,242530,284858,595978,159948,1398,1691,735,3218,2147,214,713,362,2240,338,561,691,288,1993,286
274,57,57,281,1,0.086488,3362,5748,21596,23343,17054,456,499,687,1484,2318,440,240,100,1523,260,609,945,990,1821,5394,3604,3628,3656,1787,3604,1681,30074,23829,25844,1777,17719,23451,31781,84326,16883,561,617,186,1554,1222,160,472,148,1589,188,499,533,140,1494,234
275,207,277,2909,0.176081,0.050733,13146,39023,330081,472793,103816,2200,2130,3232,10690,11004,1803,1244,1699,10866,1256,2334,3061,4198,11686,5101,36020,36044,52540,34045,36020,5691,523139,239465,291590,7984,378195,556067,626990,2255929,299293,3051,4847,2284,10858,4823,613,2256,2160,10712,1026,2226,2304,2262,10543,977
276,207,260,2942,0.115042,0.054664,13743,39338,334072,475678,106742,2184,2204,3210,11101,10920,1811,1282,1969,11309,1288,2348,3336,3967,11850,5284,36348,36372,53328,34806,36348,5678,510724,249019,301904,8351,385443,575744,655665,2324327,309274,2032,4951,2524,11680,4819,673,2276,2320,10986,1014,2236,2320,2320,10892,1009
277,207,260,2948,0.113508,0.054775,14106,40614,334737,472552,108467,2166,2182,3210,11008,10956,1771,1300,1755,12190,1316,2352,3080,4168,11988,5278,36420,36444,53460,34902,36420,5743,534388,258252,304372,8449,388430,586492,663107,2320789,308170,2039,5017,2853,11798,4839,611,2266,2314,11135,1042,2360,2398,2378,10928,1012
280,841,841,3988,0.493024,0.005638,23147,47312,215636,279318,139599,2663,2773,3853,12172,16222,2280,1747,1737,11866,1755,3108,4525,5015,14355,6620,51224,51248,66552,41241,51224,7846,1700621,230957,273475,11467,3419872,5478315,5683432,13497134,3819548,5862,5824,3829,13385,8027,891,2773,1963,12401,1474,2691,2801,2050,12170,1375
282,2873,2873,15032,0.381609,0.001821,98252,252509,737018,840448,304809,14240,14288,23339,48312,1554902,14150,6472,5500,48314,324,17190,22832,25860,58635,6993,191880,191904,194340,114191,19380,46030,18535722,678683,756903,10828,44503069,70388249,78192988,183488823,61518579,15647,28860,13980,55053,22899,3875,14819,11748,49000,493,14319,15827,10187,49915,567
287,1794,1794,7764,0,0.002412,45082,93370,661755,898236,271735,5041,5444,8606,23466,30254,3161,3348,2987,24189,3382,5276,7568,10090,27108,12121,100348,100372,181656,124032,100348,15952,6389987,523197,606228,22011,15237941,33096239,36052778,70210650,26249540,9277,10153,7516,27090,14625,2009,5308,8303,23678,3182,5281,5179,8203,23634,3007
288,14734,14734,95053,0.110668,0.000438,450100,1419096,7662478,10347424,3012151,65070,63946,95026,299577,338681,44004,49793,31411,306350,48985,60354,78982,109334,329143,130146,1199576,1199600,1818252,1308844,1199576,161803,723598404,6699403,9560121,272280,1250596115,2058927004,2237057423,5707985177,2095762065,35496,80086,106327,297748,135846,28665,63230,113729,305909,38666,64847,62585,82366,295456,33444
289,25228,25228,175027,0.113393,0.000275,842381,2855357,13580688,18259506,5467403,119157,118049,207990,538592,613741,86979,94527,59866,539195,91520,121249,147290,198334,591756,243100,2201240,2201264,3158244,2264810,2201240,339328,2473143950,12996222,17753633,510124,3831247712,6211244406,6499139254,17287774718,5908678066,71298,169339,230648,540045,240423,62280,116194,220586,546046,79411,119213,116735,164346,531418,65537
292,398,398,3678,0.330792,0.023219,17564,49296,250920,346303,130604,2548,2606,4891,14335,13539,2138,1611,1655,15194,1615,2861,3907,5668,16314,6304,45732,45756,55804,35277,45732,7215,897936,224935,275119,9185,1079737,1612136,1732349,5355683,886264,4195,4797,2007,15541,5869,857,2683,1843,14497,1426,2586,2725,1893,14126,1250
293,62,62,450,0.213536,0.117066,6718,8237,59748,66372,22684,643,687,1274,3400,3144,675,308,591,2953,302,797,1230,1416,4019,3977,5652,5676,7888,4866,5652,1759,44251,39570,47404,3767,23322,30352,40253,127052,21824,831,767,611,3113,1550,198,579,641,3328,256,637,689,481,2749,260
294,782,782,7514,0.208371,0.012287,33615,97763,634731,846882,259013,4879,4951,6991,27271,25826,3298,3157,3386,27874,3330,4805,6556,8762,29716,11271,93300,93324,127212,87397,93300,12373,3335418,530817,661983,16723,4251556,6416683,6808470,22101013,4090292,3575,8620,4498,28159,10147,1739,4977,4243,27553,2622,4941,5158,4472,26862,2539
295,398,398,1654,0.316209,0.010442,11577,22770,99827,128282,58583,1256,1338,1889,5839,7043,1066,722,743,5897,739,1430,2112,2536,6562,2967,21444,21468,30428,18182,21444,3685,338171,108465,123167,11595,647915,1086137,1169840,2636477,638866,2746,2843,1827,7352,3871,368,1338,861,5844,675,1322,1298,915,5755,609
296,62,62,202,0.219163,0.052549,2037,3062,17428,22005,7628,258,262,539,1050,1242,256,116,202,1040,126,378,529,625,1258,2009,2676,2700,4508,2628,2676,845,13515,16352,19450,1733,10023,13852,19244,45146,10445,276,336,266,1070,799,80,274,210,1070,92,276,276,210,991,122
297,782,782,3382,0.210448,0.00553,17975,44012,236497,315040,117486,2362,2346,4296,12898,13445,1783,1448,1687,12998,1482,2546,3534,5342,14405,5546,43716,43740,69188,45556,43716,6540,1193185,235652,280760,8534,2639977,4386060,4810322,10988246,3199896,5023,5347,3723,15433,7137,721,2429,2128,13138,1112,2492,2472,2184,12591,1162
298,200,200,796,0.245,0.0199,6863,8359,49731,66158,29034,537,555,627,2298,3885,371,416,252,2280,370,679,975,1071,2787,1486,10356,10380,16808,10020,10356,1809,100638,49887,57634,7554,139750,228260,260038,629084,150524,1109,1252,825,2919,1597,248,571,438,2452,330,549,533,464,2366,316
299,2000,2000,7996,0.2495,0.001999,47178,93298,580058,719026,280454,6063,5606,8391,26301,31701,3132,3410,2598,23590,3492,6001,7664,10271,26888,14238,103956,103980,168008,112222,103956,15022,7875525,489083,573842,23931,18417067,31214637,33307927,70739243,29223492,3482,10575,7516,25161,15623,1889,5370,8852,22668,3288,5310,5368,6750,22187,3002
300,961,961,4681,0,0.005069,24317,52362,385980,541145,163578,2985,3019,3817,14389,17440,1917,1991,1759,14969,2026,3017,4388,5061,16424,9171,60020,60044,105672,73789,60020,8207,2273879,321990,392395,13663,4349367,7263207,7467073,18616409,5317497,4891,5737,5668,15785,8171,1036,3039,3436,17130,1619,3053,3077,3428,14425,1643
301,961,961,4681,0,0.005069,24504,52162,386092,532070,163508,2993,3154,3877,14573,17849,1903,1979,1779,14901,1989,2931,4508,4979,16498,7215,60020,60044,105672,73789,60020,7999,2268344,311858,381702,12974,4351630,7264353,7441846,18581371,5353419,5147,5612,4944,15699,8299,1078,3067,3382,14575,1733,3117,3027,3528,14377,1663
302,961,961,4681,0,0.005069,24395,52466,385423,533496,162480,2997,3009,3827,14290,17388,1867,1993,1775,14868,1993,2913,4682,5221,16500,10241,60020,60044,105672,73789,60020,8109,2254807,317497,389488,12960,4377524,7245879,7418534,18407487,5298233,5680,5775,4937,15657,8141,981,3069,3380,14463,1667,3037,3026,3406,14272,1649
303,961,961,4681,0,0.005069,24958,52857,384844,531288,163182,2988,3131,3809,14615,17488,1893,1987,1817,15160,2008,2949,4408,4959,16516,8470,60020,60044,105672,73789,60020,7946,2292768,316149,383609,13425,4408771,7327193,7471978,18769242,5410402,4951,5897,4693,16206,8133,973,3084,3358,14659,1615,3023,3037,3252,14533,1605
304,961,961,4681,0,0.005069,24441,53917,389559,538501,167504,3035,3180,4362,14795,17606,1901,2014,1811,15050,2041,3087,4769,5183,16608,10337,60020,60044,105672,73789,60020,8666,2283699,323440,395359,13239,4412810,7313052,7493555,18669696,5278185,5321,5927,5243,15859,8161,1088,3123,3516,14537,1697,3067,3087,3561,14409,1645
305,961,961,4681,0,0.005069,24515,55073,401274,538734,167167,3066,3224,4047,14733,17751,1879,2025,1835,15214,2041,3035,4552,5061,16969,9628,60020,60044,105672,73789,60020,9004,2321322,324859,395790,13826,4420906,7410164,7953373,19044400,5457043,5151,5915,5175,16098,8333,1167,3130,3394,15002,1712,3097,3095,3596,14841,1691
306,104,104,992,0,0.091716,11069,12844,94136,135406,34857,755,727,915,3747,3474,475,505,418,3600,519,855,1102,1152,4185,5696,12324,12348,19224,12600,12324,2114,100007,73948,99011,9167,76713,102770,120868,418122,66941,519,1000,697,3665,1424,268,799,779,3705,454,787,775,775,3218,428
307,400,400,2860,0,0.017875,12750,37530,223060,324707,98817,1947,1963,2142,10077,10365,1294,1230,1240,10091,1234,1921,2833,2869,11162,4404,35924,35948,58584,39616,35924,5089,670942,194659,250443,6193,876450,1413338,1502512,4458977,813189,1517,3520,2306,10525,4378,605,2033,1995,10139,1148,1995,2013,2078,9976,959
308,656,656,3884,0,0.009026,17825,47551,296496,434514,134386,2599,2619,3033,13419,14343,1675,1667,1645,13629,1683,2610,3715,4296,14833,5801,49236,49260,83160,57672,49236,6896,1354999,276616,348165,9752,2181902,3599491,3792932,10145136,2384328,4177,4356,2743,14302,6420,871,2755,2699,13445,1474,2632,2667,2851,13262,1346
309,2048,2048,10114,0.106299,0.002411,52662,132558,838154,1116466,349511,6402,6989,10399,31869,37440,4051,4258,4253,33051,4260,6960,9961,12808,36091,18713,129564,129588,214436,150013,129564,19312,10373921,724260,872887,29689,21759344,37823639,43486707,93148833,53838858,4043,12898,10772,35222,17691,2376,6686,9429,32422,4328,6596,6538,9349,32144,3823
310,512,512,2480,0.165699,0.00946,12922,32002,185285,251101,86299,1645,1639,3310,10150,9610,1152,1061,1665,10499,1090,1833,2504,3805,11311,3947,31812,31836,51096,33608,31812,4745,682157,172121,209839,7031,1204479,2590941,2615263,6056249,2546622,3163,3388,2811,11780,4626,552,1709,1693,10447,1000,1641,1669,1851,10139,1280
311,512,512,2500,0.085631,0.009537,13349,32244,190821,264071,88468,1675,1711,2462,9161,9720,1252,1078,1449,9596,1102,1783,2609,3268,10331,4081,32052,32076,53840,35994,32052,4853,697450,174747,212737,7340,1220551,2601459,2618513,5930607,2607653,3290,3400,2855,10760,4785,578,1687,1701,9283,982,1721,1719,1809,9107,873
312,8192,8192,41746,0.211152,0.000622,200804,603732,3197028,4123953,1292172,26599,27611,44559,123097,153139,16238,17929,17384,124763,18340,27126,37903,49410,140988,74317,533724,533748,825536,575396,533724,80230,167208004,2989313,3837105,118207,342877485,578615191,632563140,1431649274,795618985,15232,28621,48515,122832,69548,12926,27874,45605,123976,15981,27896,27335,40856,122459,15276
