Matrix Number,Matrix Rows,Matrix Cols,Matrix Nonzeros,Matrix Redundancy,Matrix Density,Eigen Constructor Time,CSC Constructor Time,CSF2 Constructor Time,CSF3 Constructor Time,Armadillo Constructor Time,Eigen InnerIterator Time,CSC InnerIterator Time,CSF2 InnerIterator Time,CSF3 InnerIterator Time,Armadillo InnerIterator Time,Eigen Scalar Multiplication Time,CSC Scalar Multiplication Time,CSF2 Scalar Multiplication Time,CSF3 Scalar Multiplication Time,Armadillo Scalar Multiplication Time,Eigen Vector Multiplication Time,CSC Vector Multiplication Time,CSF2 Vector Multiplication Time,CSF3 Vector Multiplication Time,Armadillo Vector Multiplication Time,Eigen Memory Usage,CSC Memory Usage,CSF2 Memory Usage,CSF3 Memory Usage,Armadillo Memory Usage,Eigen Transpose Time,CSC Transpose Time,CSF2 Transpose Time,CSF3 Transpose Time,Armadillo Transpose Time,Eigen Matrix Multiplication Time,CSC Matrix Multiplication Time,CSF2 Matrix Multiplication Time,CSF3 Matrix Multiplication Time,Armadillo Matrix Multiplication Time,Eigen Outer Sum Time,CSC Outer Sum Time,CSF2 Outer Sum Time,CSF3 Outer Sum Time,Armadillo Outer Sum Time,Eigen Sum Time,CSC Sum Time,CSF2 Sum Time,CSF3 Sum Time,Armadillo Sum Time,Eigen Norm Time,CSC Norm Time,CSF2 Norm Time,CSF3 Norm Time,Armadillo Norm Time
128,512,512,2007,1,0.007656,15770,25928,94106,101650,75392,2215,2165,2866,6211,9337,2054,822,361,6171,862,2474,3396,3327,7194,4639,26136,26160,30580,16554,26136,6162,519124,97623,102512,6162,1051973,2267613,2282692,4340431,2449986,2064,6994,841,10390,5931,341,2285,661,6402,641,2114,2394,1082,6191,641
128,512,512,2007,1,0.007656,11552,25888,88526,103124,70833,1913,2134,2785,6191,9528,2134,851,361,6132,882,2655,3707,3326,7404,4488,26136,26160,30580,16554,26136,5641,507562,99336,104436,6291,1065999,2182874,2461587,4317839,2336603,2364,2534,1242,9989,5501,350,2094,551,6412,651,2225,2094,902,6282,672
128,512,512,2007,1,0.007656,10109,25738,90370,103354,62507,2175,2144,3236,6291,9798,2225,841,380,6201,861,2545,3346,3176,7354,4890,26136,26160,30580,16554,26136,5741,511710,99948,105838,22763,1067592,2534704,2335450,4469233,2340570,2275,2605,791,6332,5750,330,2294,651,6392,912,2195,2265,561,6362,681
128,512,512,2007,1,0.007656,14948,25397,90490,103604,62347,2084,1743,2625,6292,9477,2174,841,351,6102,842,2445,3366,3336,7284,4508,26136,26160,30580,16554,26136,5560,508935,100057,106420,22592,1058305,2184978,2370206,4336414,2331273,2365,2504,5250,6442,5800,421,2154,1021,6562,651,2184,2034,470,6402,662
129,59,59,163,1,0.046826,1302,3837,11712,13044,6792,341,320,461,711,1263,381,100,60,742,110,431,551,682,951,3547,2196,2220,3272,1721,2196,1062,11792,11151,13395,891,7574,9808,21851,31739,6612,391,450,120,771,922,120,350,90,792,80,341,341,90,721,120
129,59,59,163,1,0.046826,2455,2765,10980,11422,5741,260,190,370,611,1041,251,110,60,692,111,341,511,471,782,1613,2196,2220,3272,1721,2196,822,9538,12112,12704,631,7244,11822,13686,31469,12593,271,341,140,722,792,70,250,100,672,80,260,291,100,631,90
129,59,59,163,1,0.046826,1132,2234,10770,12083,5791,170,200,321,582,972,201,101,80,651,110,280,612,471,851,1413,2196,2220,3272,1721,2196,661,9709,11471,12623,782,7173,9368,18785,31359,7244,251,261,111,701,752,50,231,90,621,81,180,190,90,601,130
129,59,59,163,1,0.046826,1192,2134,10380,10861,6743,180,210,291,561,972,211,110,50,622,100,221,361,320,712,1252,2196,2220,3272,1721,2196,631,9517,11041,11732,1082,7193,15078,13715,36439,5790,230,210,90,672,671,50,200,100,601,80,161,161,90,591,110
129,59,59,163,1,0.046826,1593,1914,10039,10639,6151,150,130,241,562,882,170,90,50,611,130,210,501,301,732,1182,2196,2220,3272,1721,2196,581,9708,11812,11892,812,7264,9498,13505,31418,5670,181,191,111,621,661,50,161,110,631,70,150,140,70,561,90
130,592,592,2848,1,0.008126,15138,36228,116168,121698,90209,1944,2114,2375,7644,11401,1533,1212,431,6893,1242,2334,3176,3437,9327,4629,36548,36572,37464,20136,36548,5581,849693,116268,121618,8155,1593509,2726033,2785826,6237460,1609930,12884,6482,1042,7053,5881,951,2013,882,7764,1212,2004,2064,651,7654,972
130,592,592,2848,1,0.008126,15439,35757,114275,121798,104095,1903,1853,2745,7594,11181,1483,1212,431,6923,1233,2104,3025,3206,9117,4519,36548,36572,37464,20136,36548,6302,877456,118342,118933,8285,1578451,2577224,2661542,6279207,1921134,1523,7895,981,11512,5751,491,1994,762,7604,942,1944,2003,1032,7574,942
130,592,592,2848,1,0.008126,15429,38713,115306,121858,99787,1813,1934,2284,7564,11251,1503,1803,421,6943,1232,3888,3036,3136,9097,4319,36548,36572,37464,20136,36548,5781,856567,119063,119875,8306,1581045,2616017,2858721,6254852,1630078,1563,2294,1123,11551,5471,581,1913,711,7704,921,1943,1893,951,7715,2234
130,592,592,2848,1,0.008126,14787,36378,117761,123181,89829,1884,1943,2354,7675,11262,1512,1232,461,6843,1222,2204,2975,3236,9247,4308,36548,36572,37464,20136,36548,5481,868679,122069,124023,9077,1593499,2794772,2661472,6457252,1649023,1443,2354,841,7133,5550,531,1863,802,7584,932,1934,1993,631,7535,931
130,592,592,2848,1,0.008126,20579,34164,115777,122981,90971,1884,1823,2315,7625,11171,1503,1803,441,6893,1222,2174,2996,3347,9417,4378,36548,36572,37464,20136,36548,5620,855985,120426,123001,8556,1569764,2580210,2655902,6283335,1620830,1533,2365,1362,7093,5661,501,1934,732,7835,932,1954,1923,571,7734,962
131,607,607,2869,1,0.007787,14778,43542,129874,140874,93696,2265,2375,2846,8406,12283,2205,1262,450,7955,1273,2906,3727,4138,10009,5540,36860,36884,38208,20489,36860,6492,901611,131647,140473,9097,1785649,2819238,2996931,6644082,1799876,15239,7364,1173,7935,6833,882,2465,902,8616,1283,2445,2625,771,8466,1002
131,607,607,2869,1,0.007787,15329,38953,123061,131487,108854,2214,2194,2985,8295,12133,2084,1262,451,7874,1292,2625,3667,3837,9899,5540,36860,36884,38208,20489,36860,6672,873318,133019,135665,9718,1720728,2961855,3097931,6725374,2199104,2294,7363,1022,14247,6783,501,2524,811,8456,982,2274,2455,1072,8446,982
131,607,607,2869,1,0.007787,16310,38983,123742,139862,105388,2043,2254,2756,8475,12293,1973,1272,461,7945,1273,2575,4158,3587,10029,5551,36860,36884,38208,20489,36860,6643,885190,132759,137348,8807,1729243,2764395,3260856,6653169,1754030,2164,2765,1452,13746,6242,501,2305,711,8586,962,2214,2284,982,8526,1002
131,607,607,2869,1,0.007787,15769,39665,131216,140213,93395,2184,2245,3136,8346,12343,2064,1252,521,7924,1272,2455,3597,3797,9969,5099,36860,36884,38208,20489,36860,6823,879249,135975,138389,9278,1731207,2926669,2822534,6932883,1756845,1994,2846,962,7985,6442,761,2225,902,8496,1483,2255,2444,771,8496,972
131,607,607,2869,1,0.007787,19236,37921,131276,138720,92374,2114,1943,2795,8486,12162,2064,1262,491,7955,1262,2575,3697,3747,9968,5150,36860,36884,38208,20489,36860,6793,883978,135314,137878,9067,1719736,2705084,2831641,6663959,1725066,2384,2805,1413,7995,6533,631,2334,1002,8606,962,2294,2294,591,8546,992
132,66,66,193,1,0.044307,1553,4588,12143,13436,7524,301,301,350,702,1123,391,110,60,672,121,390,461,811,922,4468,2584,2608,3700,1933,2584,1293,13736,11051,13145,841,10239,13736,34054,54031,11602,331,501,120,922,1112,130,361,100,811,81,301,281,91,711,120
132,66,66,193,1,0.044307,2715,2535,10951,12022,6563,241,191,311,622,1022,230,120,60,661,110,331,441,511,822,1583,2584,2608,3700,1933,2584,751,11221,12474,12884,862,9037,13906,16841,42159,14738,201,290,160,681,792,60,250,90,621,91,261,271,101,621,90
132,66,66,193,1,0.044307,1372,2244,11021,11622,6633,170,221,270,571,1102,231,110,70,591,100,281,461,391,732,1473,2584,2608,3700,1933,2584,682,11602,11051,12794,721,8877,12062,24686,43091,7484,221,230,100,652,661,50,191,100,611,80,221,190,90,631,100
132,66,66,193,1,0.044307,1222,2214,11532,11372,7624,150,210,260,551,1042,190,111,70,582,110,240,331,340,732,1363,2584,2608,3700,1933,2584,561,12504,11502,11973,2234,8797,19096,16711,53551,6973,140,220,100,611,622,60,150,80,641,81,170,171,80,601,90
132,66,66,193,1,0.044307,2194,1853,11501,11882,7084,160,140,311,581,992,211,131,60,581,110,281,350,321,671,1333,2584,2608,3700,1933,2584,591,11051,12012,12203,2074,8706,11912,16561,41248,6783,141,210,110,601,611,60,160,91,632,80,190,170,81,571,80
133,72,72,147,1,0.028356,1442,2946,10359,11572,6132,170,181,260,471,972,201,100,70,491,160,271,381,501,742,2896,2056,2080,3780,2043,2056,832,11311,10059,12694,791,9087,11511,30958,38141,6923,190,261,130,561,701,60,221,110,561,70,181,170,110,481,110
133,72,72,147,1,0.028356,2785,1734,9879,10620,5069,170,200,200,441,872,171,80,70,460,110,230,331,330,601,1262,2056,2080,3780,2043,2056,541,9929,11231,11381,632,8807,13184,18214,38422,16150,130,191,170,481,551,61,161,131,481,80,150,140,110,451,90
133,72,72,147,1,0.028356,1202,1553,9628,10419,5140,151,120,180,441,781,141,70,80,451,100,190,321,321,651,1132,2056,2080,3780,2043,2056,531,9528,10029,11752,702,8766,11351,26479,37932,6502,111,220,130,491,571,60,130,90,461,70,140,131,150,471,70
133,72,72,147,1,0.028356,1472,1573,10159,10519,6462,150,141,221,441,841,160,70,60,461,100,171,281,310,651,1142,2056,2080,3780,2043,2056,471,11422,10961,11201,3156,8997,27191,18615,46838,6903,100,190,100,481,531,50,110,120,501,70,120,140,100,491,91
133,72,72,147,1,0.028356,3095,1382,9659,10680,6011,121,140,180,451,781,131,90,61,461,90,220,290,321,622,1062,2056,2080,3780,2043,2056,541,9899,12023,11642,2805,8937,12023,18745,39995,6723,100,180,130,480,571,60,120,120,481,60,150,170,80,430,91
134,758,758,3376,1,0.005876,18455,43822,154781,152757,109967,2354,2395,2756,9037,13565,1924,1433,551,7945,1453,2966,3687,4177,10640,5551,43548,43572,46880,25804,43548,6722,1237772,147517,153378,9377,2500430,4062049,4757664,10027689,2723168,16381,7885,1684,7965,7223,1513,2425,1093,9127,1413,2405,2555,892,9027,1142
134,758,758,3376,1,0.005876,19998,39684,143409,155201,125897,2354,2305,3106,8977,13606,1894,1442,561,7985,1503,2605,3747,3807,10560,5430,43548,43572,46880,25804,43548,6822,1205882,152616,148438,9988,2494559,4396777,4553661,10026967,3065810,1793,9698,1133,13586,7204,581,2404,1082,8907,1232,2375,2494,1162,8997,1102
134,758,758,3376,1,0.005876,19397,39865,158437,149110,122640,2244,2334,2736,9077,13565,1883,1443,541,8266,1443,2535,3707,3807,10610,5340,43548,43572,46880,25804,43548,6803,1213176,147386,153608,9888,2489339,4466818,4854045,10001710,2678293,1833,2795,1413,13425,7184,641,2335,912,9017,1112,2324,2404,1252,8977,1132
