Matrix Number,Matrix Rows,Matrix Cols,Matrix Nonzeros,Matrix Redundancy,Matrix Density,Eigen Constructor Time,CSF1 Constructor Time,CSF2 Constructor Time,CSF3 Constructor Time,Armadillo Constructor Time,Eigen InnerIterator Time,CSF1 InnerIterator Time,CSF2 InnerIterator Time,CSF3 InnerIterator Time,Armadillo InnerIterator Time,Eigen Scalar Multiplication Time,CSF1 Scalar Multiplication Time,CSF2 Scalar Multiplication Time,CSF3 Scalar Multiplication Time,Armadillo Scalar Multiplication Time,Eigen Vector Multiplication Time,CSF1 Vector Multiplication Time,CSF2 Vector Multiplication Time,CSF3 Vector Multiplication Time,Armadillo Vector Multiplication Time,Eigen Memory Usage,CSF1 Memory Usage,CSF2 Memory Usage,CSF3 Memory Usage,Armadillo Memory Usage,Eigen Transpose Time,CSF1 Transpose Time,CSF2 Transpose Time,CSF3 Transpose Time,Armadillo Transpose Time,Eigen Matrix Multiplication Time,CSF1 Matrix Multiplication Time,CSF2 Matrix Multiplication Time,CSF3 Matrix Multiplication Time,Armadillo Matrix Multiplication Time,Eigen Outer Sum Time,CSF1 Outer Sum Time,CSF2 Outer Sum Time,CSF3 Outer Sum Time,Armadillo Outer Sum Time,Eigen Sum Time,CSF1 Sum Time,CSF2 Sum Time,CSF3 Sum Time,Armadillo Sum Time,Eigen Norm Time,CSF1 Norm Time,CSF2 Norm Time,CSF3 Norm Time,Armadillo Norm Time,
9.000000, 331.000000, 104.000000, 662.000000, 0.830654, 0.019231,22691,32049,80177,94784,70059,5060,5390,5410,6301,8005,2414,882,391,7013,1002,2725,3546,10289,50903,12683,8364,8388,7248,3527,8364,5250,173819,151869,156718,6842,164713,806041,559027,2004794,184789,2365,2555,721,6742,5770,91,60,61,6893,60,2425,2455,732,6672,762,
9.000000, 331.000000, 104.000000, 662.000000, 0.830654, 0.019231,14617,27861,77191,90737,66542,5029,5029,5079,6061,8175,2334,932,260,6502,952,5440,10489,5510,8115,11842,8364,8388,7248,3527,8364,4278,168029,142382,149475,5831,151468,531747,725503,2005645,171525,2624,2344,711,6251,4148,161,51,50,6142,60,2314,1983,441,6231,721,
9.000000, 331.000000, 104.000000, 662.000000, 0.830654, 0.019231,14186,27280,77883,88603,68856,5039,5029,5039,5911,8406,2164,902,250,6402,941,2484,3386,3366,7514,12092,8364,8388,7248,3527,8364,4468,174230,143614,146469,19105,154665,698433,588241,2163435,170974,1964,2295,411,5981,4989,70,50,50,6402,60,2254,2285,431,6151,771,
9.000000, 331.000000, 104.000000, 662.000000, 0.830654, 0.019231,22091,25496,76902,87701,69838,5039,5060,5110,6062,8215,2124,912,260,6632,971,2675,6151,9768,7073,10309,8364,8388,7248,3527,8364,5551,166436,146199,151880,16620,155276,533120,551102,2006467,171315,2144,2385,631,6211,5660,140,61,60,6662,70,2575,2034,331,6191,722,
10.000000, 608.000000, 188.000000, 1216.000000, 0.831237, 0.010638,22261,50593,127434,146700,106696,9247,8245,8315,10079,13104,3646,1582,431,12203,1503,4909,5701,5921,13545,18023,15348,15372,13160,6856,15348,10579,430531,229662,273693,11441,224873,1892638,3728792,8106917,324556,15669,4338,1954,10579,9047,80,60,50,10910,60,4218,4488,561,10229,1553,
10.000000, 608.000000, 188.000000, 1216.000000, 0.831237, 0.010638,34904,48570,124659,145568,182756,8225,8165,8285,9607,12954,3676,1422,401,10659,1493,3908,5650,5841,11972,18083,15348,15372,13160,6856,15348,7645,400546,224292,234831,11070,263945,2197709,1787204,6131678,283220,3917,7974,1944,14967,8907,60,50,50,10108,50,3677,3787,971,10049,1223,
10.000000, 608.000000, 188.000000, 1216.000000, 0.831237, 0.010638,23784,47788,125972,144355,117937,8185,8215,8225,9748,12954,3777,1403,371,10720,1493,4298,5861,5440,12042,18564,15348,15372,13160,6856,15348,6482,406758,224192,236294,8616,224913,1621490,2271374,6310576,293309,4068,3867,1583,13975,7694,71,60,50,10159,50,4097,4258,801,10149,1283,
10.000000, 608.000000, 188.000000, 1216.000000, 0.831237, 0.010638,23853,47227,126593,144676,107597,8195,8225,8235,9678,13034,3566,1433,401,10679,1483,4028,5641,5130,12342,17913,15348,15372,13160,6856,15348,7714,421906,223000,230383,11471,225435,2115638,1696978,6971731,283721,3597,4238,881,10208,8055,170,50,50,10209,50,3636,4028,581,10389,1182,
10.000000, 608.000000, 188.000000, 1216.000000, 0.831237, 0.010638,27801,44342,129057,145858,105564,8205,8216,8346,9738,12854,3506,1403,431,10700,1412,3968,5470,5460,12363,15398,15348,15372,13160,6856,15348,33722,413250,224502,232988,10639,221497,1635215,1696417,6199653,278823,3937,4158,5029,10329,8456,70,50,51,10379,70,4789,3687,471,10128,1433,
11.000000, 85.000000, 85.000000, 304.000000, 0.676471, 0.042076,6962,17382,51835,57466,34584,2374,2394,2474,3366,5049,1462,491,291,3577,541,1653,2414,2685,3987,9267,3992,4016,4980,2538,3992,4328,74286,52336,61072,4298,40104,70069,138725,242245,49992,1673,1683,521,3586,3988,80,61,50,3456,60,2033,1583,360,3506,611,
