Matrix Number,Matrix Rows,Matrix Cols,Matrix Nonzeros,Matrix Redundancy,Matrix Density,Avg Eigen Constructor Time,Avg CSF1 Constructor Time,Avg CSF2 Constructor Time,Avg CSF3 Constructor Time,Avg Armadillo Constructor Time,Avg Eigen InnerIterator Time,Avg CSF1 InnerIterator Time,Avg CSF2 InnerIterator Time,Avg CSF3 InnerIterator Time,Avg Armadillo InnerIterator Time,Avg Eigen Scalar Multiplication Time,Avg CSF1 Scalar Multiplication Time,Avg CSF2 Scalar Multiplication Time,Avg CSF3 Scalar Multiplication Time,Avg Armadillo Scalar Multiplication Time,Avg Eigen Vector Multiplication Time,Avg CSF1 Vector Multiplication Time,Avg CSF2 Vector Multiplication Time,Avg CSF3 Vector Multiplication Time,Avg Armadillo Vector Multiplication Time,Avg Eigen Memory Usage,Avg CSF1 Memory Usage,Avg CSF2 Memory Usage,Avg CSF3 Memory Usage,Avg Armadillo Memory Usage,Avg Eigen Transpose Time,Avg CSF1 Transpose Time,Avg CSF2 Transpose Time,Avg CSF3 Transpose Time,Avg Armadillo Transpose Time,Avg Eigen Matrix Multiplication Time,Avg CSF1 Matrix Multiplication Time,Avg CSF2 Matrix Multiplication Time,Avg CSF3 Matrix Multiplication Time,Avg Armadillo Matrix Multiplication Time,Avg Eigen Outer Sum Time,Avg CSF1 Outer Sum Time,Avg CSF2 Outer Sum Time,Avg CSF3 Outer Sum Time,Avg Armadillo Outer Sum Time,Avg Eigen Sum Time,Avg CSF1 Sum Time,Avg CSF2 Sum Time,Avg CSF3 Sum Time,Avg Armadillo Sum Time,Avg Eigen Norm Time,Avg CSF1 Norm Time,Avg CSF2 Norm Time,Avg CSF3 Norm Time,Avg Armadillo Norm Time
23.000000, 48.000000, 48.000000, 224.000000, 0.058730, 0.097222,5380,5620,42240,54860,17760,580,540,1020,1620,2280,560,220,440,1780,220,780,1260,1320,2060,10860,2884,2908,4940,3086,2884,1700,12340,34240,44080,4880,12400,21240,30060,63140,20200,480,880,860,1680,1580,200,580,720,1940,160,500,580,420,1560,300,
24.000000, 66.000000, 66.000000, 2211.000000, 0.076737, 0.507576,44200,42900,520100,825280,202600,2360,3220,5680,10640,12960,5020,1180,1620,12480,1380,3900,5820,6100,14020,23120,26800,26824,35460,23691,26800,7240,65600,440960,519120,17220,182420,260960,279100,772520,160160,2400,5060,5040,10740,11040,2160,20020,5780,11600,5980,3160,3160,3880,11260,5020,
25.000000, 112.000000, 112.000000, 376.000000, 0.004464, 0.029974,11300,10180,55540,70820,23540,520,560,1000,2200,3140,540,260,660,2080,280,920,3040,1800,2900,6820,4964,4988,9600,5932,4964,2160,11840,68580,64400,7360,90400,122120,125080,277100,90380,480,900,1800,2140,2180,320,640,940,2260,4680,660,600,880,2200,460,
26.000000, 132.000000, 132.000000, 1890.000000, 0.081038, 0.108471,27660,44180,358840,628080,135120,4900,2920,6460,15000,13600,2040,1020,1880,11060,1640,3140,5280,6320,17320,22080,23212,23236,32280,21086,23212,8080,69780,370560,385740,26800,348740,488940,568620,1860060,304380,2920,5080,6340,12100,7220,1200,3100,18680,13240,1720,3240,2680,4180,21180,1920,
27.000000, 153.000000, 153.000000, 1288.000000, 0.113812, 0.055022,18420,34140,209120,285880,104660,1760,2380,4620,8380,10500,1540,760,1640,7940,920,2340,3880,4860,9720,15300,16072,16096,23272,14760,16072,5840,46640,219640,227840,19200,288660,417160,441340,1278380,286840,2540,3540,4960,9780,5240,1020,2200,3300,9220,1700,2160,2120,2680,10800,1400,
28.000000, 420.000000, 420.000000, 4140.000000, 0.016162, 0.023469,38280,75740,749600,1021340,499540,4360,7600,13180,35520,27940,4920,1780,9020,23620,3700,6160,13060,12060,27940,18100,51364,51388,78744,54852,51364,22360,122940,722400,786440,22520,2678420,3977540,4192620,9840840,3153000,5060,9760,14160,28480,15080,2520,5580,11180,31240,4040,8420,6200,8680,25480,3360,
29.000000, 420.000000, 420.000000, 4140.000000, 0.016162, 0.023469,51660,93400,819740,1224160,372960,4920,7060,15760,22320,29080,5380,2020,5320,24700,3160,7740,15920,15400,29040,22520,51364,51388,78744,54852,51364,19080,120360,1164600,1013560,293800,3785100,4586540,5421460,11549280,3147560,6720,11740,18100,26840,24120,3380,6260,29740,61300,4540,6380,6360,10700,27140,5100,
30.000000, 1074.000000, 1074.000000, 7017.000000, 0.054561, 0.006083,72060,133180,929560,1598560,397100,13940,13480,25460,40480,55760,9820,3100,9040,48600,4080,15220,20880,28180,54980,30980,88504,88528,128952,89726,88504,43960,155920,1284240,1284420,40280,13446960,17014620,22437480,46053199,13570520,11280,24860,21500,64540,29400,7440,14080,31160,55620,7600,12760,16040,16820,57040,6260,
31.000000, 1083.000000, 1083.000000, 9760.000000, 0.196275, 0.008321,100540,196500,1048680,1896720,672960,20020,15100,21920,40080,68540,8160,5620,7100,45320,6500,15380,27640,21840,58900,35860,121456,121480,164704,116586,121456,30060,234740,1280080,1480980,47020,14157920,19480420,19548860,45020120,16540200,11900,21680,26220,67360,32220,10680,12440,30460,55380,9620,19240,17340,18240,56140,6980,
32.000000, 1086.000000, 1086.000000, 11578.000000, 0.000000, 0.009817,139700,253260,1433560,2804740,918440,11440,21800,32780,50980,86360,8640,6880,11520,53380,7740,16200,25580,32640,67260,41460,143284,143308,220024,162792,143284,143960,262780,2027420,2863860,49640,16320080,22731720,25434820,62054400,17252360,13920,26820,34400,88180,42180,14360,17380,31520,79840,11360,14560,15980,27440,68140,36960,
33.000000, 1473.000000, 1473.000000, 17857.000000, 0.016394, 0.008230,160960,325580,2897800,4963760,1323220,24820,29420,47840,87340,112160,17540,7700,18600,94400,10280,24060,27860,42380,106000,54640,220180,220204,328120,245812,220180,55460,451020,3111500,3894900,101700,37155080,50053240,45904020,129226519,34482660,16940,36760,40500,96420,55520,17640,23980,42460,111340,20700,25780,24900,38560,110140,14000,
34.000000, 1473.000000, 1473.000000, 17857.000000, 0.016394, 0.008230,137580,371700,3365840,4734860,1279680,17200,27380,44300,77320,129940,19000,10520,21960,90880,11760,25160,45540,44680,85880,64660,220180,220204,328120,245812,220180,73880,496720,3376140,4231060,78920,34480479,48193320,50781460,132402920,35669920,19020,39440,47820,96720,46240,16340,30780,46220,115360,19180,28600,23800,36280,105020,14800,
35.000000, 2003.000000, 2003.000000, 42943.000000, 0.045165, 0.010704,391440,916800,8431099,11416779,2549000,55380,71080,114680,223300,253080,43820,25900,67780,224140,38340,83880,76740,140760,245140,155340,523332,523356,724796,560565,523332,139700,1267960,9133439,11519060,205980,103633158,142939977,188713097,458518113,84177538,43200,107340,98220,232020,132600,41500,58160,84440,215800,36520,59340,66360,94900,232600,43100,
36.000000, 1806.000000, 1806.000000, 32630.000000, 0.003455, 0.010004,304400,593160,6761979,8615580,2284720,36420,50660,69720,150220,176960,26200,15640,43640,157260,22140,60560,61280,74900,182940,111220,398788,398812,578672,444012,398788,97680,760760,5759360,6800739,153300,74236919,100432639,108377239,295755357,65752619,50680,60540,76660,182220,89920,29680,43240,89780,164120,26560,43460,45200,64340,157760,25260,
37.000000, 3948.000000, 3948.000000, 60882.000000, 0.042447, 0.003906,555940,1514120,9980300,15841040,4195900,67640,119180,152360,249880,316500,63700,36740,81100,286440,42940,102340,123360,152700,360800,244960,746380,746404,1063020,813779,746380,239820,1288440,11807580,13935160,307420,316637565,448076107,496362325,1219503338,289523144,92020,127980,131120,351340,183000,40840,92720,141640,372160,54860,82040,81680,124580,320620,47260,
38.000000, 4884.000000, 4884.000000, 147631.000000, 0.027921, 0.006189,1492060,3285740,28719099,37039099,8808279,203300,196920,307580,711780,789760,133560,125460,185340,746100,117500,230360,270940,347120,779239,395620,1791112,1791136,2459728,1935384,1791112,542700,2979160,26353759,38495939,726900,763552428,1061879885,1124323371,3309804619,684470209,135760,340860,296560,631060,325820,106220,192160,296020,688520,132740,232460,211880,263000,752859,139580,
1.000000, 1138.000000, 1138.000000, 2596.000000, 0.002648, 0.002005,37800,68600,375900,443360,224660,7780,10060,15380,19180,33000,8020,1080,8900,17200,1920,13180,14860,17780,28200,19880,35708,35732,77712,50623,35708,20060,89320,398500,433100,31140,9874520,12213460,15081740,24871080,11266440,19980,14700,16320,22740,20760,1560,12820,14980,28120,2760,7740,8100,10240,24500,2240,
2.000000, 494.000000, 494.000000, 1080.000000, 0.007967, 0.004426,21160,21580,190220,196820,90040,3260,4140,7080,9460,15520,3400,560,3400,10960,640,3500,5420,5680,11660,8100,14940,14964,32908,20852,14940,9360,29960,183540,239200,21420,2313520,2768360,2935200,4538520,2648560,7860,6000,9840,12080,8820,740,3760,5900,11000,1900,3580,3360,4980,14560,1140,
3.000000, 662.000000, 662.000000, 1568.000000, 0.001538, 0.003578,32040,35860,242520,330360,126660,4280,5380,9380,11380,19720,4360,820,4220,10860,1000,4560,8380,9820,13960,10940,21468,21492,46236,29959,21468,12260,48500,251420,318040,33640,2956060,4178500,4939300,8436220,3589700,11760,9100,14480,17260,14640,1000,5160,13140,12880,1540,4480,4600,6280,14360,1900,
